Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
Morpeko,Thunder Shock,Bite,Crunch,Payback,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morpeko-Full Belly,Thunder Shock,Bite,Crunch,Payback,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morpeko-Hangry,Thunder Shock,Bite,Crunch,Payback,Thunderbolt,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cufant,Tackle,Rock Smash,Iron Head,Dig,Play Rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copperajah,Tackle,Rock Smash,Iron Head,Dig,Play Rough,Heavy Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracozolt,Dragon Tail,Thunder Shock,Discharge,Dragon Pulse,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctozolt,Powder Snow,Thunder Shock,Discharge,Avalanche,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracovish,Dragon Breath,Water Gun,Brine,Dragon Pulse,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctovish,Powder Snow,Water Gun,Brine,Avalanche,Ancient Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duraludon,Dragon Tail,Metal Claw,Flash Cannon,Dragon Claw,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreepy,Astonish,Quick Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drakloak,Astonish,Dragon Tail,Dragon Pulse,Shadow Ball,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragapult,Hex,Dragon Tail,Dragon Pulse,Shadow Ball,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacian,Metal Claw,Snarl,Quick Attack,Fire Fang,Play Rough,Iron Head,Wild Charge,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacian-Crowned Sword,Metal Claw,Snarl,Quick Attack,Fire Fang,Play Rough,Iron Head,Wild Charge,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacian-Hero,Metal Claw,Snarl,Quick Attack,Fire Fang,Play Rough,Iron Head,Wild Charge,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamazenta,Metal Claw,Snarl,Quick Attack,Ice Fang,Moonblast,Iron Head,Crunch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamazenta-Crowned Shield,Metal Claw,Snarl,Quick Attack,Ice Fang,Moonblast,Iron Head,Crunch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamazenta-Hero,Metal Claw,Snarl,Quick Attack,Ice Fang,Moonblast,Iron Head,Crunch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eternatus,Dragon Tail,Poison Jab,Cross Poison,Dragon Pulse,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eternatus Eternamax,Dragon Tail,Poison Jab,Cross Poison,Dragon Pulse,Flamethrower,Hyper Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kubfu,Rock Smash,Counter,Brick Break,Dynamic Punch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urshifu,Rock Smash,Counter,Brick Break,Dynamic Punch,Close Combat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urshifu-Rapid Strike,Rock Smash,Counter,Waterfall,Brick Break,Dynamic Punch,Close Combat,Aqua Jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urshifu-Single Strike,Rock Smash,Counter,Sucker Punch,Brick Break,Dynamic Punch,Close Combat,Payback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarude,Vine Whip,Bite,Power Whip,Energy Ball,Dark Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regieleki,Thunder Shock,Lock On,Thunderbolt,Thunder,Wild Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regidrago,Bite,Lock On,Dragon Claw,Outrage,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glastrier,Tackle,Take Down,Avalanche,Icy Wind,Bulldoze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrier,Tackle,Take Down,Shadow Ball,Foul Play,Bulldoze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyrex,Pound,Confusion,Psyshock,Psychic,Energy Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyrex Ice Rider,Confusion,Take Down,Psyshock,Psychic,Energy Ball,Avalanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calyrex Rider,Confusion,Take Down,Psyshock,Psychic,Energy Ball,Shadow Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowlet,Razor Leaf,Tackle,Energy Ball,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartrix,Peck,Razor Leaf,Brave Bird,Energy Ball,Seed Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decidueye,Astonish,Razor Leaf,Brave Bird,Energy Ball,Shadow Sneak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litten,Ember,Scratch,Crunch,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torracat,Bite,Ember,Crunch,Flame Charge,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incineroar,Fire Fang,Snarl,Dark Pulse,Flame Charge,Fire Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popplio,Pound,Water Gun,Aqua Jet,Aqua Tail,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brionne,Charm,Water Gun,Aqua Jet,Disarming Voice,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primarina,Charm,Waterfall,Hydro Pump,Moonblast,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikipek,Peck,Rock Smash,Aerial Ace,Drill Peck,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trumbeak,Peck,Rock Smash,Drill Peck,Rock Blast,Sky Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toucannon,Bullet Seed,Peck,Rock Smash,Drill Peck,Flash Cannon,Rock Blast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yungoos,Bite,Tackle,Crunch,Hyper Fang,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gumshoos,Bite,Take Down,Crunch,Hyper Fang,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grubbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charjabug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikavolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabrawler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crabominable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Pa'u,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Pom-Pom,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Sensu,Air Slash,Pound,Aerial Ace,Air Cutter,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutiefly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribombee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockruff,Rock Throw,Tackle,Crunch,Stone Edge,Rock Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc,Rock Throw,Sucker Punch,Crunch,Drill Run,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc-Dusk,Rock Throw,Sucker Punch,Crunch,Drill Run,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc-Midnight,Counter,Rock Throw,Crunch,Psychic Fangs,Stone Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishiwashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishiwashi-School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mareanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxapex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudbray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewpider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fomantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiinotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salandit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salazzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stufful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounsweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steenee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsareena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfey,Hidden Power,Vine Whip,Draining Kiss,Grass Knot,Petal Blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oranguru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passimian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wimpod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golisopod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandygast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palossand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Fairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Fighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Flying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Ghost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Meteor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtonator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togedemaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruxish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhelmise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangmo-o,Dragon Tail,Tackle,Brick Break,Dragon Claw,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakamo-o,Dragon Tail,Tackle,Brick Break,Dragon Claw,Dragon Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kommo-o,Dragon Tail,Poison Jab,Close Combat,Dragon Claw,Flamethrower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Koko,Quick Attack,Volt Switch,Brave Bird,Dazzling Gleam,Thunder,Thunderbolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Lele,Astonish,Confusion,Focus Blast,Future Sight,Moonblast,Psyshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Bulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Fini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmoem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solgaleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nihilego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzzwole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pheromosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xurkitree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celesteela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kartana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guzzlord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma-Dawn Wings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma-Dusk Mane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma-Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magearna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poipole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naganadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stakataka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacephalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeraora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
